id,job_title,company,location,category,experience_level,salary_range,required_skills,description
1,AR/VR Developer,Flipkart,"Bangalore, India",AR/VR,Mid Level,12-22 LPA,"unity, c#, 3d modeling, ar kit, ar core, game development, mathematics, shaders, optimization","Flipkart is hiring an AR/VR Developer to create immersive shopping experiences. You will build augmented reality features using Unity and ARCore, enabling customers to visualize products in their space."
2,Infrastructure Engineer,BigBasket,"Noida, India",DevOps,Mid Level,12-22 LPA,"aws, ec2, s3, lambda, cloudformation, vpc, iam, rds, dynamodb, aws certified","Cognizant seeks an AWS Solutions Architect to design cloud architectures for clients. You will conduct cloud readiness assessments, create solution designs, and lead implementation teams."
3,Mobile Developer,Postman,"Ahmedabad, India",Mobile Development,Entry Level,5-10 LPA,"kotlin, android sdk, java, xml, retrofit, room, mvvm, git, firebase","Paytm is looking for an Android Developer to build features for India's leading digital payment app. You will develop UI components, integrate REST APIs, and write testable code following MVVM architecture."
4,AI Research Scientist,DeepMind,Remote,Data Science,Senior Level,50-90 LPA,"python, pytorch, deep learning, reinforcement learning, mathematics, research, nlp, computer vision, publications","DeepMind is seeking an AI Research Scientist to push the boundaries of artificial intelligence. You will publish papers at top conferences, develop novel architectures, and contribute to foundational AI research."
5,Frontend Engineer,Lenskart,"Pune, India",Web Development,Entry Level,3-6 LPA,"html, css, javascript, php, wordpress, mysql, seo, responsive design","WebCraft Solutions is hiring a WordPress Developer to build and customize WordPress themes and plugins. You will work on client websites, ensure SEO optimization, and maintain existing sites."
6,Software Engineer II,Happiest Minds,"Noida, India",Software Engineering,Mid Level,12-22 LPA,"java, python, microservices, docker, kubernetes, redis, mongodb, kafka, system design","Flipkart is hiring a Backend Developer to build scalable microservices handling millions of requests. You will work on distributed systems, optimize database queries, and implement event-driven architectures using Kafka."
7,Software Developer,Infosys,"Hyderabad, India",Software Engineering,Entry Level,3.5-7 LPA,"java, spring boot, mysql, git, agile, rest api, junit, problem solving","Join Infosys as a Software Developer working on enterprise Java applications. You will design, develop and test software modules using Spring Boot and MySQL. Experience with agile methodologies and writing unit tests is preferred."
8,Infrastructure Engineer,LatentView Analytics,"Noida, India",DevOps,Mid Level,10-20 LPA,"docker, kubernetes, aws, terraform, jenkins, linux, python, ci/cd, monitoring, ansible","Hashedin seeks a DevOps Engineer to automate infrastructure provisioning and manage CI/CD pipelines. You will work with Docker, Kubernetes, and Terraform on AWS to ensure high availability and scalability."
9,DevOps Engineer,Hashedin,"Bangalore, India",DevOps,Mid Level,10-20 LPA,"docker, kubernetes, aws, terraform, jenkins, linux, python, ci/cd, monitoring, ansible","Hashedin seeks a DevOps Engineer to automate infrastructure provisioning and manage CI/CD pipelines. You will work with Docker, Kubernetes, and Terraform on AWS to ensure high availability and scalability."
10,Infrastructure Engineer,AbsoluteData,Remote,DevOps,Mid Level,14-25 LPA,"kubernetes, docker, helm, argocd, terraform, github actions, linux, python, go, observability","Thoughtworks is hiring a Platform Engineer to build and maintain internal developer platforms. You will create self-service infrastructure, implement GitOps workflows, and improve developer experience."
11,Junior Data Analyst,Birlasoft,"Noida, India",Data Science,Entry Level,5-9 LPA,"sql, power bi, excel, python, statistics, data visualization, communication, analytical thinking","Accenture is hiring a BI Analyst to design interactive Power BI dashboards and automate reporting. You will analyze business data, identify trends, and support data-driven decision making across teams."
12,Frontend Developer,Swiggy,"Bangalore, India",Web Development,Entry Level,5-10 LPA,"html, css, javascript, react, git, responsive design, figma, rest api, problem solving","Swiggy is looking for a Frontend Developer to build beautiful, responsive web interfaces using React. You will work closely with designers to translate Figma mockups into pixel-perfect, performant UIs."
13,Software Engineer II,MiQ Digital,"Ahmedabad, India",Software Engineering,Entry Level,3.5-7 LPA,"java, spring boot, mysql, git, agile, rest api, junit, problem solving","Join Infosys as a Software Developer working on enterprise Java applications. You will design, develop and test software modules using Spring Boot and MySQL. Experience with agile methodologies and writing unit tests is preferred."
14,Product Manager,Atlassian,"Bangalore, India",Product Management,Mid Level,20-35 LPA,"product management, user research, data analysis, sql, communication, leadership, agile, roadmapping, a/b testing","Atlassian is hiring a Product Manager to drive the strategy and roadmap for our collaboration tools. You will define product requirements, analyze user data, run A/B tests, and work cross-functionally with engineering and design."
15,Junior Data Analyst,BrowserStack,"Hyderabad, India",Data Science,Mid Level,20-40 LPA,"python, pytorch, tensorflow, mlflow, docker, kubernetes, ci/cd, deep learning, computer vision","Microsoft seeks an ML Engineer to productionize machine learning models. You will build ML pipelines, optimize model performance, and deploy models at scale using MLOps best practices."
16,Automation Test Engineer,Wipro,"Bangalore, India",Testing,Mid Level,8-15 LPA,"selenium, python, java, cypress, playwright, ci/cd, jenkins, api testing, postman, git","Wipro is hiring an Automation Test Engineer to build and maintain test automation frameworks. You will write end-to-end tests using Selenium and Cypress, integrate with CI/CD pipelines, and perform API testing."
17,Associate Software Engineer,Tredence,"Pune, India",Software Engineering,Mid Level,8-15 LPA,"javascript, react, node.js, express, mongodb, html, css, git, rest api, agile",Zoho seeks a Full Stack Developer proficient in React and Node.js to build end-to-end features for our SaaS products. You will collaborate with designers and product managers to deliver polished user experiences.
18,ETL Developer,Capgemini,"Pune, India",Database,Entry Level,4-8 LPA,"sql, python, etl, informatica, data warehouse, mysql, oracle, data quality, problem solving","Capgemini is looking for an ETL Developer to build data transformation pipelines. You will extract data from multiple sources, transform it using business rules, and load it into data warehouses."
19,Web Developer,Coforge,"Hyderabad, India",Web Development,Entry Level,3-6 LPA,"html, css, javascript, php, wordpress, mysql, seo, responsive design","WebCraft Solutions is hiring a WordPress Developer to build and customize WordPress themes and plugins. You will work on client websites, ensure SEO optimization, and maintain existing sites."
20,Associate Software Engineer,LatentView Analytics,Remote,Software Engineering,Entry Level,3.5-7 LPA,"java, spring boot, mysql, git, agile, rest api, junit, problem solving","Join Infosys as a Software Developer working on enterprise Java applications. You will design, develop and test software modules using Spring Boot and MySQL. Experience with agile methodologies and writing unit tests is preferred."
21,Database Administrator,Oracle,"Hyderabad, India",Database,Mid Level,10-18 LPA,"oracle, mysql, postgresql, sql, database tuning, backup, replication, linux, python, monitoring","Oracle is seeking a Database Administrator to manage enterprise database systems. You will optimize query performance, manage backups, implement replication strategies, and ensure data integrity across environments."
22,Frontend Engineer,Freshworks,"Mumbai, India",Web Development,Mid Level,12-20 LPA,"react, typescript, next.js, css, tailwind, jest, git, ci/cd, performance optimization","Razorpay seeks an experienced React Developer to build and maintain our payment dashboard. You will optimize performance, write comprehensive tests, and implement complex financial UI components."
23,Business Intelligence Analyst,Accenture,"Pune, India",Data Science,Entry Level,5-9 LPA,"sql, power bi, excel, python, statistics, data visualization, communication, analytical thinking","Accenture is hiring a BI Analyst to design interactive Power BI dashboards and automate reporting. You will analyze business data, identify trends, and support data-driven decision making across teams."
24,iOS Developer,Meesho,"Bangalore, India",Mobile Development,Mid Level,12-22 LPA,"swift, swift ui, ios sdk, xcode, core data, combine, rest api, git, ci/cd","Meesho seeks an iOS Developer to build and enhance our e-commerce app used by millions. You will implement SwiftUI views, optimize app performance, and ensure smooth user experiences on Apple devices."
25,Senior Data Scientist,Tech Mahindra,"Hyderabad, India",Data Science,Mid Level,18-35 LPA,"python, machine learning, tensorflow, pandas, numpy, scikit-learn, sql, statistics, deep learning, nlp","Amazon is looking for a Data Scientist to build ML models that improve customer experience. You will work on recommendation engines, demand forecasting, and NLP-based solutions using TensorFlow and scikit-learn."
26,Information Security Analyst,PayU,"Gurugram, India",Cybersecurity,Entry Level,5-9 LPA,"siem, splunk, networking, incident response, linux, windows server, threat analysis, communication","IBM is hiring a SOC Analyst to monitor security events in our 24/7 Security Operations Center. You will investigate alerts, escalate incidents, and create threat intelligence reports."
27,Cross-Platform Developer,Glance,Remote,Mobile Development,Entry Level,6-12 LPA,"react native, javascript, typescript, redux, rest api, git, expo, firebase","Myntra seeks a React Native Developer to work on our fashion e-commerce mobile app. You will build reusable components, optimize performance, and collaborate with backend teams for seamless integration."
28,Associate Software Engineer,Zensar Technologies,"Hyderabad, India",Software Engineering,Entry Level,4-8 LPA,"python, java, git, sql, data structures, algorithms, problem solving, rest api","We are looking for a Junior Software Engineer to join our development team. You will work on building and maintaining web applications, writing clean code, debugging software, and collaborating with senior developers. Knowledge of data structures, algorithms, and version control is essential."
